Geography,January 2017,Symbol,February 2017,Symbol,March 2017,Symbol,April 2017,Symbol,May 2017,Symbol,June 2017,Symbol,July 2017,Symbol,August 2017,Symbol,September 2017,Symbol,October 2017,Symbol,November 2017,Symbol,December 2017,Symbol,January 2018,Symbol,February 2018,Symbol,March 2018,Symbol,April 2018,Symbol,May 2018,Symbol,June 2018,Symbol,July 2018,Symbol,August 2018,Symbol,September 2018,Symbol,October 2018,Symbol,November 2018,Symbol,December 2018,Symbol,January 2019,Symbol,February 2019,Symbol,March 2019,Symbol,April 2019,Symbol,May 2019,Symbol,June 2019,Symbol,July 2019,Symbol,August 2019,Symbol,September 2019,Symbol,October 2019,Symbol,November 2019,Symbol,December 2019,Symbol,January 2020,Symbol,February 2020,Symbol,March 2020,Symbol,April 2020,Symbol,May 2020,Symbol,June 2020,Symbol,July 2020,Symbol,August 2020,Symbol,September 2020,Symbol,October 2020,Symbol,November 2020,Symbol,December 2020,Symbol,January 2021,Symbol,February 2021,Symbol,March 2021,Symbol,April 2021,Symbol,May 2021,Symbol,June 2021,Symbol,July 2021,Symbol,August 2021,Symbol,September 2021,Symbol,October 2021,Symbol,November 2021,Symbol,December 2021,Symbol,January 2022,Symbol,February 2022,Symbol,March 2022,Symbol,April 2022,Symbol,May 2022,Symbol,June 2022,Symbol,July 2022,Symbol,August 2022,Symbol,September 2022,Symbol,October 2022,Symbol,November 2022,Symbol,December 2022,Symbol,January 2023,Symbol,February 2023,Symbol,March 2023,Symbol,April 2023,Symbol,May 2023,Symbol,June 2023,Symbol,July 2023,Symbol,August 2023,Symbol,September 2023,Symbol
,Dollars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alberta,6726992,C,6755541,C,6696621,C,6731946,C,6794861,C,6845782,C,6795728,C,6758273,C,6870429,C,6984728,C,6897129,C,6871052,C,6917447,C,6884324,C,6830192,C,6867732,C,7168885,C,7007217,C,6978264,C,6995013,C,7030299,C,6894852,C,7013254,C,7053815,C,6849274,C,6846332,C,7004759,C,7094556,C,7032082,C,6959217,C,7022772,C,7003906,C,6851074,C,6934850,C,6833655,C,7069474,C,7085925,C,6977325,C,6029524,C,5041813,C,6201495,C,7002528,C,7122454,C,6763261,C,7446375,C,7393295,C,7476623,C,7433410,C,7523283,C,7599828,C,7513659,C,7626109,C,7496484,C,7577431,C,7484188,C,7535652,C,7603596,C,7829629,C,7963697,C,7780095,C,7679581,C,7794531,C,7969592,C,7989056,C,8305570,C,8121051,C,8302778,C,8312320,C,8205353,C,8335571,C,8360709,A,8431294,A,8663913,A,8488163,A,8384050,A,8442229,A,8570667,A,8446955,A,8418222,A,8481577,A,8559673,A
British Columbia,7277591,C,6979447,C,7041783,C,7097179,C,7231238,C,7386505,C,7406444,C,7362373,C,7408205,C,7672275,C,7467284,C,7515551,C,7398388,C,7414089,C,7393743,C,7567765,C,7609988,C,7554814,C,7506840,C,7521946,C,7511801,C,7557942,C,7534630,C,7596712,C,7623010,C,7460788,C,7637540,C,7542317,C,7631488,C,7510125,C,7551448,C,7674922,C,7613130,C,7600067,C,7631816,C,7828135,C,7642483,C,7736031,C,7265885,C,6033912,C,6922822,C,7708518,C,7947731,C,8009786,C,8273288,C,8401041,C,8450358,C,8524584,C,8719832,C,8701420,C,8720633,C,8795086,C,8783883,C,8649690,C,8686801,C,8666924,C,8703469,C,8732561,C,8727947,C,8764794,C,8827284,C,8832092,C,8840646,C,8959229,C,9079182,C,9078781,C,9041067,C,9144939,C,8978529,C,9054851,C,9092190,A,8960346,A,9115422,A,8823549,A,8907392,A,8993988,A,9312942,A,8996690,A,9113592,A,9020529,A,9060815,A
Yukon,66032,C,66066,C,68277,C,66765,C,68089,C,67665,C,69222,C,65792,C,68199,C,74288,C,77164,C,80082,C,72335,C,67627,C,69298,C,72800,C,74277,C,75411,C,75911,C,77065,C,77431,C,72261,C,73982,C,74664,C,73253,C,72012,C,76541,C,78306,C,78740,C,77525,C,78581,C,78648,C,77313,C,76551,C,72850,C,75283,C,77684,C,78694,C,76114,C,65797,C,73441,C,75198,C,77469,C,78255,C,80451,C,84676,C,85732,C,84402,C,83433,C,84665,C,83979,C,84623,C,86091,C,80091,C,81279,C,83592,C,84931,C,85909,C,85246,C,87337,C,86483,C,86471,C,88760,C,88900,C,91332,C,97515,C,92718,C,92845,C,89043,C,90847,C,90625,A,89672,A,96548,B,94197,B,92233,B,94491,A,96369,A,98876,A,106379,B,104195,B,96394,A
Northwest Territories,65317,C,65745,C,65613,C,63711,C,66732,C,66558,C,66909,C,68227,C,66192,C,67616,C,67956,C,71062,C,70699,C,68003,C,68842,C,69176,C,69689,C,68880,C,68905,C,66643,C,70426,C,68567,C,68362,C,67340,C,69874,C,69771,C,68637,C,67990,C,67294,C,66687,C,65515,C,67379,C,69137,C,68504,C,66971,C,66631,C,68809,C,71584,C,68894,C,62612,C,75116,C,74249,C,78153,C,79255,C,77544,C,77240,C,80479,C,80499,C,80023,C,77909,C,82525,C,81628,C,73538,C,76033,C,77315,C,77007,C,72566,C,76360,C,77647,C,78627,C,74289,C,72514,C,75095,C,76390,C,79560,C,79997,C,75487,C,75755,C,78038,C,78987,C,75116,A,75236,A,78968,B,78786,A,75055,A,76584,B,79108,A,75006,A,76526,B,58027,B,73453,B
Nunavut,39696,C,41580,C,34958,C,37019,C,38539,C,38015,C,36182,C,35596,C,36498,C,37371,C,36357,C,36413,C,40353,C,37253,C,36592,C,37425,C,36149,C,38458,C,39414,C,39503,C,39607,C,38957,C,39742,C,39172,C,40793,C,41129,C,41340,C,40988,C,41054,C,40070,C,40694,C,41707,C,40817,C,42343,C,42122,C,41142,C,41221,C,40998,C,42674,C,49899,C,51701,C,49381,C,48593,C,48885,C,48946,C,46755,C,46982,C,50839,C,47617,C,47005,C,46753,C,46843,C,47932,C,47182,C,47806,C,47013,C,46198,C,47210,C,47242,C,48448,C,50130,C,48275,C,46914,C,48635,C,47230,C,47139,C,47341,C,48163,C,48576,C,50578,C,50626,A,49783,A,49857,A,51259,A,49949,A,50247,A,49915,A,49320,A,50517,A,51743,A,54628,A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Symbol legend:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A, data quality: excellent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B, data quality: very good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
