,1976,Symbol,1977,Symbol,1978,Symbol,1979,Symbol,1980,Symbol,1981,Symbol,1982,Symbol,1983,Symbol,1984,Symbol,1985,Symbol,1986,Symbol,1987,Symbol,1988,Symbol,1989,Symbol,1990,Symbol,1991,Symbol,1992,Symbol,1993,Symbol,1994,Symbol,1995,Symbol,1996,Symbol,1997,Symbol,1998,Symbol,1999,Symbol,2000,Symbol,2001,Symbol,2002,Symbol,2003,Symbol,2004,Symbol,2005,Symbol,2006,Symbol,2007,Symbol,2008,Symbol,2009,Symbol,2010,Symbol,2011,Symbol,2012,Symbol,2013,Symbol,2014,Symbol,2015,Symbol,2016,Symbol,2017,Symbol,2018,Symbol,2019,Symbol,2020,Symbol,2021,Symbol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of persons  (x 1,000)",16797,,17153,,17487,,17857,,18235,,18573,,18861,,19107,,19350,,19592,,19851,,20130,,20409,,20701,,21041,,21318,,21608,,21842,A,22140,A,22417,A,22741,A,23007,A,23231,A,23533,A,23892,A,24207,A,24517,A,24848,A,25179,A,25583,A,25822,A,26195,A,26590,A,26941,A,27371,A,27708,A,27982,A,28377,A,28524,C,28829,A,29166,A,29601,A,30022,A,30517,A,30730,A,31145,A
"Number with income  (x 1,000)",729,,761,,750,,926,,922,,1008,,1224,,1355,,1458,,1449,,2143,,2076,,2160,,1261,,1458,,1676,,1809,,2014,A,2082,A,1868,A,1992,A,1901,A,2093,B,1514,B,1395,B,1427,B,1348,B,1402,B,1360,B,1292,B,1289,B,1320,B,1335,B,1439,B,1528,B,1546,B,1769,B,1833,B,1797,C,1943,B,2001,B,1941,B,1874,B,1951,B,1828,B,1130,B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aggregate income  (x 1,000,000)",5932,,5878,,6463,,6257,,6175,,6516,,7970,,8888,,9805,,9825,,10321,,9699,,10172,,9065,,10931,,13619,,15775,,19010,B,19687,A,17998,A,18406,A,17311,B,18171,B,13841,B,12606,B,12789,B,11902,B,11973,B,11784,B,11402,C,11266,C,11457,C,11902,C,12809,C,13652,C,13998,C,14474,B,15082,B,15289,C,16077,B,17463,B,16943,B,16523,B,17556,B,16702,B,11907,B
Average income (excluding zeros),8100,,7700,,8600,,6800,,6700,,6500,,6500,,6600,,6700,,6800,,4800,,4700,,4700,,7200,,7500,,8100,,8700,,9400,A,9500,A,9600,A,9200,A,9100,A,8700,A,9100,A,9000,A,9000,A,8800,A,8500,A,8700,B,8800,B,8700,B,8700,B,8900,B,8900,B,8900,B,9100,B,8200,A,8200,B,8500,A,8300,A,8700,A,8700,A,8800,A,9000,B,9100,A,10500,A
Median income (excluding zeros),6000,,4900,,7400,,4000,,4300,,4000,,3900,,3800,,4200,,4300,,1300,,1300,,1300,,4800,,5900,,7000,,7800,,9000,B,8900,B,9100,B,9000,B,8900,A,8300,B,8700,B,8700,B,8700,B,8800,A,8700,A,8700,A,8600,B,8500,B,8400,B,9100,B,8400,B,8500,C,8700,C,7500,C,7900,B,8500,B,7700,C,8700,B,8500,B,8600,B,8700,B,9100,B,10400,B
