,1976,Symbol,1977,Symbol,1978,Symbol,1979,Symbol,1980,Symbol,1981,Symbol,1982,Symbol,1983,Symbol,1984,Symbol,1985,Symbol,1986,Symbol,1987,Symbol,1988,Symbol,1989,Symbol,1990,Symbol,1991,Symbol,1992,Symbol,1993,Symbol,1994,Symbol,1995,Symbol,1996,Symbol,1997,Symbol,1998,Symbol,1999,Symbol,2000,Symbol,2001,Symbol,2002,Symbol,2003,Symbol,2004,Symbol,2005,Symbol,2006,Symbol,2007,Symbol,2008,Symbol,2009,Symbol,2010,Symbol,2011,Symbol,2012,Symbol,2013,Symbol,2014,Symbol,2015,Symbol,2016,Symbol,2017,Symbol,2018,Symbol,2019,Symbol,2020,Symbol,2021,Symbol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Number of persons  (x 1,000)",16797,,17153,,17487,,17857,,18235,,18573,,18861,,19107,,19350,,19592,,19851,,20130,,20409,,20701,,21041,,21318,,21608,,21842,A,22140,A,22417,A,22741,A,23007,A,23231,A,23533,A,23892,A,24207,A,24517,A,24848,A,25179,A,25583,A,25822,A,26195,A,26590,A,26941,A,27371,A,27708,A,27982,A,28377,A,28524,C,28829,A,29166,A,29601,A,30022,A,30517,A,30730,A,31145,A
"Number with income  (x 1,000)",14167,,14544,,14813,,15393,,15934,,16476,,16806,,17039,,17472,,17858,,18137,,18580,,18968,,19341,,19661,,19756,,19997,,20385,A,20634,A,20971,A,21435,A,21816,A,22317,A,22577,A,23006,A,23323,A,23765,A,24044,A,24400,A,24872,A,25151,A,25562,A,26038,A,26227,A,26589,A,26905,A,27257,A,27568,A,27902,C,28148,A,28437,A,28935,A,29475,A,29867,A,30322,A,30635,A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Aggregate income  (x 1,000,000)",601893,,600263,,624360,,637500,,671414,,679828,,676231,,673663,,687606,,716037,,739279,,760600,,794349,,829862,,824253,,805726,,816263,,804882,A,823983,A,839879,A,853072,A,871070,A,919969,A,955915,A,998261,A,1029046,A,1045851,A,1054754,A,1089117,A,1117457,A,1138234,A,1188667,A,1223610,A,1228730,A,1248759,A,1270312,A,1312484,A,1349550,A,1379608,C,1399730,A,1404257,A,1468466,A,1497173,A,1517413,A,1609095,A,1653973,A
Average income (excluding zeros),42500,,41300,,42100,,41400,,42100,,41300,,40200,,39500,,39400,,40100,,40800,,40900,,41900,,42900,,41900,,40800,,40800,,39500,A,39900,A,40100,A,39800,A,39900,A,41200,A,42300,A,43400,A,44100,A,44000,A,43900,A,44600,A,44900,A,45300,A,46500,A,47000,A,46900,A,47000,A,47200,A,48200,A,49000,A,49400,A,49700,A,49400,A,50800,A,50800,A,50800,A,53100,A,54000,A
Median income (excluding zeros),33000,,33200,,33600,,33300,,33200,,33000,,31500,,29800,,29800,,30600,,31300,,31700,,33100,,34100,,32800,,31200,,31200,,30400,A,30300,A,30700,A,29600,A,29800,A,30300,A,31300,A,31700,A,32700,A,32600,A,32400,A,32800,A,33100,A,33600,A,34700,A,34700,A,34800,A,34700,A,35200,A,35900,A,36700,A,37200,A,37000,A,37200,A,38100,A,38400,A,39100,A,40900,A,41200,A
