Professional occupations in nursing  [30],667.11,,669.24,,706.92,,744.52,,771.34,,827.99,,848.46,,887.5,,895.23,,943.51,,989.01,,1019.04,,1079.62,,1092.34,,1127.05,,1147.72,,1157.51,,1194.32,,1200.95,,1216.78,,1237.74,,1244.1,,1302.83,,1361.16,,1371.61,,1424.48,
Professional occupations in health (except nursing)  [31],781.62,,751.37,,828.69,,829.51,,872,,898.64,,916.43,,1007.21,,991.95,,1022.29,,1069.86,,1102.87,,1137.43,,1153.1,,1195.01,,1206.55,,1256.12,,1256.01,,1299.25,,1351.07,,1370.09,,1376.11,,1462.67,,1523.84,,1468.76,,1596.78,
Technical occupations in health  [32],574.06,,578.57,,584.31,,582.2,,634.49,,638.06,,668.49,,694.44,,717.43,,747.66,,771.44,,799.73,,838.75,,838.75,,859.7,,861.51,,886.27,,891.39,,925.46,,915.37,,929.54,,945.33,,963.72,,1013.42,,1018.62,,1073.31,
Assisting occupations in support of health services  [34],419.74,,436.97,,425.84,,434.09,,453.01,,456.24,,470.91,,494.73,,511.45,,518.68,,557.39,,574.63,,581.99,,605.84,,615.52,,637.39,,635.68,,655.2,,672.34,,664.68,,692.39,,718.3,,693.43,,711.08,,727.26,,773.62,
"Occupations in education, law and social, community and government services  [4]",692.91,,690.34,,721.03,,723.48,,737.54,,762.8,,770.27,,788.25,,830.43,,847.02,,868.01,,911.68,,930.6,,953.65,,978.64,,1001.67,,1020.73,,1026.22,,1051.94,,1097.05,,1099.01,,1127.53,,1145.36,,1224.41,,1226.88,,1273.42,
Professional occupations in education services  [40],797.65,,799.25,,831.72,,832.91,,828.3,,855.93,,866.34,,898.62,,921.2,,951.75,,972.73,,1015.53,,1027.31,,1068.43,,1108.37,,1138.05,,1163.5,,1157.91,,1188.95,,1238.77,,1227.95,,1249.77,,1276.22,,1340.66,,1335.47,,1394.31,
"Professional occupations in law and social, community and government services  [41]",763.37,,770.49,,856.86,,867.21,,883.43,,923.23,,955.25,,973.39,,1024.69,,1009.07,,1055.53,,1104.81,,1131.29,,1135.16,,1174.83,,1195.35,,1253.11,,1264.28,,1248.68,,1312.87,,1329.02,,1361.82,,1379.36,,1454.59,,1473.75,,1510.24,
"Paraprofessional occupations in legal, social, community and education services  [42]",492.58,,499.05,,467.94,,478.17,,501.18,,517.21,,513.79,,515.21,,551.78,,574.25,,585.57,,620.91,,652.32,,649.76,,639.73,,678.42,,683.72,,693.3,,692.28,,687.68,,714.66,,729.57,,742.55,,780.61,,798.04,,814.9,
Occupations in front-line public protection services  [43],879.21,,900.78,,909.37,,933.45,,970.34,,1003.74,,996.42,,1003.16,,1061.23,,1115.62,,1144.06,,1203.4,,1232.15,,1288.62,,1305.9,,1345.17,,1377.94,,1381.99,,1473.02,,1645.27,,1646.1,,1675.43,,1748.93,,1830.19,,1803.9,,1919.2,
"Care providers and educational, legal and public protection support occupations  [44]",382.06,,395.46,,389.26,,380.73,,397.47,,410.43,,414.89,,416.65,,434.44,,462.38,,481.23,,515.64,,526.81,,534.6,,555.7,,567.77,,581.99,,597.7,,626.28,,654.63,,669.39,,700.81,,705.12,,733.2,,753.62,,774.67,
"Occupations in art, culture, recreation and sport  [5]",511.03,,524.68,,528.53,,548.98,,548.75,,555.98,,557.29,,595.19,,609.77,,625.87,,654.39,,660.48,,667.5,,701.66,,698.92,,695.29,,723.52,,723.12,,757.89,,711.54,,740.2,,736.59,,784.44,,892.65,,970.17,,927.82,
Professional occupations in art and culture  [51],643.92,,657.66,,677.05,,729.9,,724.75,,713.85,,716.68,,783.84,,785.01,,820.68,,848.3,,840.58,,842.89,,928.15,,911.49,,889.51,,908.86,,968.89,,947.59,,869.82,,994.24,,886.85,,928.09,,1088.33,,1134.78,,1151.61,
"Technical occupations in art, culture, recreation and sport  [52]",441.35,,461.42,,460.92,,464.2,,471.88,,497,,491.85,,523.22,,536.4,,553.26,,576.46,,585.38,,597.49,,614.03,,618.92,,620.21,,655.29,,635.98,,688.65,,661,,653.45,,681.8,,737.36,,804.83,,903.11,,842.02,
Sales and service occupations  [6],342.72,,350.82,,354.32,,369.31,,383.92,,387.06,,398.8,,399.59,,416.7,,426.95,,441.39,,454.61,,471.58,,479.98,,487.87,,502.25,,518.85,,526.07,,541.13,,536.54,,545.17,,570.43,,591.32,,627.47,,632.59,,646.92,
Retail sales supervisors and specialized sales occupations  [62],636.11,,656.63,,657.17,,659.18,,664.04,,682.16,,700.24,,691.3,,705.49,,723.44,,746.72,,771.92,,777.99,,801.55,,813.41,,826.45,,865.47,,859.63,,908.75,,855.93,,869.89,,874.74,,916.78,,976.16,,983.04,,984.16,
Service supervisors and specialized service occupations  [63],366.04,,361.15,,368.44,,389.18,,396.25,,401.32,,420.55,,416.33,,435.34,,448.23,,450.54,,476.99,,487.17,,490.26,,503.03,,528.82,,535.8,,565.04,,561.96,,566.3,,578.69,,610.6,,635.02,,663.41,,681.24,,695.39,
Sales representatives and salespersons - wholesale and retail trade  [64],346.62,,352.57,,374.13,,408.63,,417.16,,413.96,,428.2,,427.62,,449.41,,457.52,,482.9,,499.81,,526.2,,545.24,,531.55,,554.31,,570.51,,575.1,,602.15,,600.07,,591.65,,609.38,,642.39,,674.05,,677.09,,684.7,
Service representatives and other customer and personal services occupations  [65],351.51,,357.5,,359.86,,361.76,,381.08,,388.87,,397.19,,406.45,,421.52,,435.39,,445.45,,456.9,,474.28,,480.94,,497.6,,503.44,,516,,521.23,,542.14,,517.94,,534.65,,564.38,,580.75,,626.9,,630.5,,662.48,
Sales support occupations  [66],223.69,,232.52,,229.04,,230.71,,233.97,,236.72,,244.23,,246.89,,252.16,,259.99,,269.12,,275.45,,284.07,,288.48,,303.81,,310.01,,312.37,,319.55,,330.28,,341.56,,341.04,,373.75,,375.21,,394.98,,390.16,,401.15,
"Service support and other service occupations, n.e.c.  [67]",295.56,,301.75,,299.67,,308.75,,317.14,,318.49,,326.6,,327.78,,350.84,,355.13,,371.74,,376.95,,390.99,,394.52,,407.49,,423.47,,431.71,,435.68,,432.29,,439.79,,444.06,,472.49,,482.8,,508.6,,510.44,,535.86,
"Trades, transport and equipment operators and related occupations  [7]",641.85,,655.81,,664.74,,688.28,,709.88,,722.57,,735.71,,746.25,,769.97,,796.75,,827.59,,856.48,,877.21,,900.12,,924.57,,949.81,,972.82,,997.86,,1020.75,,1033.58,,1049.76,,1072.83,,1098.89,,1136.58,,1159.32,,1200.69,
"Industrial, electrical and construction trades  [72]",708.2,,724.15,,735.08,,761.9,,779.55,,795.02,,812.55,,821.64,,841.54,,869.18,,913.29,,930.71,,969.52,,991.63,,1020.59,,1051.52,,1086.23,,1121.39,,1145.09,,1166.69,,1177.4,,1191.95,,1233.16,,1271.16,,1289.45,,1346.68,
Maintenance and equipment operation trades  [73],703.25,,719.97,,733.23,,764.48,,777.83,,801.64,,810.87,,831,,853.64,,887.25,,916.29,,957.74,,985.08,,1000.1,,1027.55,,1068.69,,1097.08,,1117.68,,1148.76,,1180.21,,1189.02,,1226.44,,1263.22,,1314.69,,1343.66,,1381.97,
"Other installers, repairers and servicers and material handlers  [74]",500.94,,489.7,,512.13,,526.97,,539.33,,544.33,,549,,566.87,,580.62,,600.11,,613.48,,637.07,,642.86,,661.71,,670.62,,685.25,,709.59,,717.35,,734.47,,726.03,,776.06,,790.5,,789,,813.35,,838.97,,879.65,
Transport and heavy equipment operation and related maintenance occupations  [75],591.8,,609.34,,610.42,,630.86,,658.72,,665.15,,684.86,,693.55,,727.21,,746.92,,770.77,,807.17,,799.65,,828.28,,858.1,,871.06,,886.11,,896.04,,926.58,,910.8,,944.48,,965.57,,966.86,,1006.17,,1028.99,,1058.42,
"Trades helpers, construction labourers and related occupations  [76]",542.51,,548.91,,537.11,,536.38,,584.02,,585.53,,608.45,,612.53,,627.14,,675.33,,696.77,,710.98,,726.71,,749.8,,786.58,,805.02,,824.67,,834.6,,853.4,,839.12,,860.62,,893.16,,922.11,,931.63,,940.03,,1014.12,
"Natural resources, agriculture and related production occupations  [8]",551.53,,546.57,,556.15,,578.82,,613.75,,618.39,,639.06,,659.57,,680.15,,707.42,,765.37,,796.26,,794.03,,842.56,,879.27,,922.23,,933.44,,976.45,,978.23,,948.88,,1005.44,,1071.59,,1054.32,,1067.4,,1107.37,,1178.57,
"Supervisors and technical occupations in natural resources, agriculture and related production  [82]",788.09,,782.24,,858.65,,881.98,,923.46,,944.23,,938.41,,977.51,,1016.06,,1071.03,,1180.17,,1170.47,,1200.24,,1269.59,,1353.36,,1416.37,,1416.11,,1470.68,,1450.29,,1391.61,,1526.23,,1568.44,,1566.31,,1605.16,,1665.2,,1765.85,
"Workers in natural resources, agriculture and related production  [84]",483.15,,479.15,,469.59,,488.16,,500.2,,497.91,,522.16,,540.47,,546.65,,562.16,,592.1,,623.25,,631.14,,647.41,,669.4,,735.48,,711.22,,770.45,,771.06,,737.03,,766.51,,828.12,,789.7,,798.96,,827.13,,873.12,
"Harvesting, landscaping and natural resources labourers  [86]",480.23,,474.42,,463.9,,483.27,,502.77,,473.77,,520.23,,530.05,,543.56,,572.84,,596.81,,634.64,,627.81,,649.65,,683.8,,679.33,,692.27,,713.62,,712.73,,688.33,,723.77,,753.49,,753.86,,767.26,,794.07,,850.19,
Occupations in manufacturing and utilities  [9],566.71,,574.98,,571.64,,592.91,,612.81,,617.66,,643.04,,655.12,,673.43,,691.44,,710.15,,736.93,,755.45,,773.18,,781.6,,789.64,,814.8,,841.05,,848.26,,862.85,,876.11,,907.41,,951.26,,980.7,,989.41,,1028.18,
"Processing, manufacturing and utilities supervisors and central control operators  [92]",790.38,,800.96,,811.54,,809.57,,847.32,,851.27,,893.59,,930.77,,936.44,,963.5,,1006.8,,1030.77,,1092.93,,1101.36,,1098.02,,1111.59,,1147.82,,1197.58,,1198.88,,1242.66,,1255.43,,1298.98,,1384.08,,1396.66,,1436.5,,1482.01,
Processing and manufacturing machine operators and related production workers  [94],525.27,,535.82,,536.99,,565.45,,575.72,,584.09,,607.85,,616.19,,639.17,,653.91,,663.34,,684.99,,686.43,,707.62,,723.71,,736,,736.49,,758.64,,785.68,,781.63,,798.73,,824.78,,855.58,,885.67,,883.67,,922.42,
Assemblers in manufacturing  [95],570.18,,585.98,,576.81,,580.23,,617.87,,618.83,,633.79,,661.56,,675.69,,684.85,,699.78,,729.57,,740.99,,755.71,,766.21,,769.16,,804.21,,815.75,,808.19,,801.96,,813.7,,839.18,,882.93,,900.62,,904.28,,933.54,
"Labourers in processing, manufacturing and utilities  [96]",484.32,,478.83,,469.83,,487.44,,491.69,,490.47,,511,,516.63,,537.75,,555.59,,565.97,,568.29,,577.52,,586.94,,603.8,,612.73,,634.98,,636.49,,661.24,,665.88,,672.07,,698.02,,710.99,,736.12,,753.87,,792.93,
